"sourcePaperID","followedOutLinks","followedInLinks","numBFSLevels","outputEdgeList","numFoundNodes","numFoundEdges","userTime","systemTime","totalTime","maxMemory"
1549514523,True,False,2,"1549514523-true-false-2.txt",2274,4138,5.73935,0.444679,6.184029,103004
1549514523,False,True,2,"1549514523-false-true-2.txt",3613,4729,8.628274,0.9540909999999999,9.582365,154192
2796172297,True,True,2,"2796172297-true-true-2.txt",5986,8107,6.737037,0.8837299999999999,7.620767,100672
2796172297,True,False,2,"2796172297-true-false-2.txt",1504,2050,3.441835,0.237557,3.679392,61748
2796172297,False,True,2,"2796172297-false-true-2.txt",1,0,0.395825,0.074298,0.47012299999999996,44372
1987177482,True,True,2,"1987177482-true-true-2.txt",6106,6948,5.045525,0.55559,5.601115,60924
1987177482,True,False,2,"1987177482-true-false-2.txt",1195,1342,1.808099,0.15204299999999998,1.9601419999999998,44760
1987177482,False,True,2,"1987177482-false-true-2.txt",177,177,1.153472,0.079177,1.232649,44388
2889892812,True,True,2,"2889892812-true-true-2.txt",9965,17133,10.976821,1.3426420000000001,12.319462999999999,153596
2889892812,True,False,2,"2889892812-true-false-2.txt",2972,4734,5.427063,0.31093899999999997,5.738002000000001,98996
2889892812,False,True,2,"2889892812-false-true-2.txt",1,0,0.359771,0.09800099999999999,0.457772,44300
2169674765,True,True,2,"2169674765-true-true-2.txt",27053,35834,12.823928,1.347529,14.171457,180100
2169674765,True,False,2,"2169674765-true-false-2.txt",4685,5895,3.920892,0.31316,4.234052,69864
2169674765,False,True,2,"2169674765-false-true-2.txt",1387,1577,2.986458,0.325579,3.3120369999999997,50980
2503037970,True,True,2,"2503037970-true-true-2.txt",50218,61358,18.903685,1.681932,20.585617,191996
2503037970,True,False,2,"2503037970-true-false-2.txt",6186,8251,8.883903,0.542142,9.426045,152612
2503037970,False,True,2,"2503037970-false-true-2.txt",38,37,0.511058,0.12125699999999999,0.632315,44568
2025063444,True,True,2,"2025063444-true-true-2.txt",83276,98224,12.52929,1.234504,13.763793999999999,213932
2025063444,True,False,2,"2025063444-true-false-2.txt",1018,1621,3.476667,0.266192,3.742859,62932
2025063444,False,True,2,"2025063444-false-true-2.txt",1117,1839,3.164303,0.238343,3.402646,53176
1547037718,True,True,2,"1547037718-true-true-2.txt",13945,17117,4.205316,0.41092199999999995,4.616238,52724
1547037718,True,False,2,"1547037718-true-false-2.txt",881,1137,2.033252,0.203874,2.237126,44872
1547037718,False,True,2,"1547037718-false-true-2.txt",21,21,0.496054,0.077503,0.573557,44352
324643863,True,True,2,"324643863-true-true-2.txt",131,147,1.246352,0.15021299999999999,1.3965649999999998,44380
324643863,True,False,2,"324643863-true-false-2.txt",15,15,0.566566,0.10342499999999999,0.669991,44860
324643863,False,True,2,"324643863-false-true-2.txt",28,28,0.589214,0.1031,0.692314,44432
2044019737,True,True,2,"2044019737-true-true-2.txt",16535,22114,9.630047,1.077263,10.70731,124808
2044019737,True,False,2,"2044019737-true-false-2.txt",1218,1735,3.836596,0.21995199999999998,4.056548,67856
2044019737,False,True,2,"2044019737-false-true-2.txt",33,34,1.347941,0.137885,1.485826,44512
2006098970,True,True,2,"2006098970-true-true-2.txt",13342,17572,10.420245,1.204921,11.625166,114424
2006098970,True,False,2,"2006098970-true-false-2.txt",1387,1766,4.345457,0.5035299999999999,4.848986999999999,79016
2006098970,False,True,2,"2006098970-false-true-2.txt",257,266,1.204812,0.21265499999999998,1.417467,44556
2159691951,True,True,2,"2159691951-true-true-2.txt",18346,41933,44.430272,4.967512,49.397784,216940
2159691951,True,False,2,"2159691951-true-false-2.txt",1663,2370,14.497658,1.36778,15.865438,186112
2159691951,False,True,2,"2159691951-false-true-2.txt",1772,2401,9.015556,0.963228,9.978784000000001,138940
1751777656,True,True,2,"1751777656-true-true-2.txt",2274,2835,3.255915,0.5206529999999999,3.7765679999999997,44352
1751777656,True,False,2,"1751777656-true-false-2.txt",612,741,1.603451,0.148273,1.7517239999999998,44280
1751777656,False,True,2,"1751777656-false-true-2.txt",9,9,0.549997,0.09401799999999999,0.644015,44268
2074760229,True,True,2,"2074760229-true-true-2.txt",3572,4426,5.008064,0.48274999999999996,5.490814,64432
